time,inputx,predictx,inputy,predicty
11.3352,-0.0230891,-0.0150728,-0.0508004,-0.0471386
11.3362,-0.0227331,-0.0143141,-0.0507065,-0.0473645
11.3372,-0.0223766,-0.0135382,-0.0505676,-0.0475318
11.3382,-0.0220198,-0.0127557,-0.0503843,-0.0476362
11.3392,-0.0216638,-0.0119879,-0.0501575,-0.0476746
11.3402,-0.0213079,-0.0112388,-0.0498884,-0.0476448
11.3413,-0.0209544,-0.0105173,-0.0495784,-0.0475447
11.3423,-0.0206042,-0.00982154,-0.049234,-0.0473733
11.3433,-0.0202578,-0.00914349,-0.0488602,-0.0471267
11.3443,-0.0199157,-0.00848924,-0.0484595,-0.0468063
11.3453,-0.0195784,-0.00785144,-0.0480348,-0.0464202
11.3463,-0.0192462,-0.00722638,-0.0475844,-0.0459647
11.3473,-0.0189194,-0.00662722,-0.0471061,-0.0454402
11.3483,-0.0185994,-0.00606583,-0.0465987,-0.0448625
11.3493,-0.0182862,-0.00553746,-0.0460622,-0.0442494
11.3503,-0.0179806,-0.00503155,-0.0455018,-0.0436136
11.3513,-0.0176847,-0.00454502,-0.0449214,-0.0429505
11.3523,-0.0173999,-0.00407139,-0.044323,-0.0422532
11.3533,-0.017128,-0.00360945,-0.0437089,-0.0415232
11.3543,-0.0168704,-0.00315685,-0.0430771,-0.0407522
11.3553,-0.0166274,-0.00270814,-0.0424249,-0.0399365
11.3563,-0.0163992,-0.00226814,-0.0417509,-0.0390891
11.3573,-0.0161864,-0.00184492,-0.0410546,-0.0382269
11.3583,-0.0159894,-0.00144959,-0.0403361,-0.0373603
11.3593,-0.0158076,-0.00109923,-0.039601,-0.0364873
11.3603,-0.0156418,-0.000805295,-0.0388532,-0.0355953
11.3613,-0.015492,-0.000559315,-0.0380945,-0.034679
11.3623,-0.0153575,-0.000353747,-0.0373273,-0.0337412
11.3633,-0.0152399,-0.000198749,-0.0365492,-0.0327743
11.3643,-0.0151389,-9.51618e-05,-0.0357574,-0.0317755
11.3653,-0.0150533,-3.80586e-05,-0.0349502,-0.0307569
11.3663,-0.0149844,-2.91532e-05,-0.034132,-0.029735
11.3673,-0.0149301,-6.00892e-05,-0.0333056,-0.0287167
11.3683,-0.0148906,-0.00013997,-0.032472,-0.0277007
11.3693,-0.0148657,-0.000281675,-0.0316328,-0.0266847
11.3703,-0.0148537,-0.000474567,-0.030785,-0.0256569
11.3713,-0.0148547,-0.000722166,-0.0299254,-0.0246098
11.3723,-0.0148678,-0.00102234,-0.0290571,-0.0235533
11.3733,-0.0148912,-0.00137098,-0.028182,-0.0224976
11.3743,-0.0149247,-0.00177785,-0.0273005,-0.0214526
11.3753,-0.0149666,-0.00223068,-0.0264136,-0.0204212
11.3763,-0.0150173,-0.00272007,-0.0255181,-0.0193869
11.3773,-0.0150772,-0.00324782,-0.0246156,-0.0183397
11.3783,-0.0151436,-0.00381431,-0.023707,-0.0172832
11.3793,-0.0152153,-0.00442646,-0.0227918,-0.0162293
11.3803,-0.0152914,-0.00506308,-0.021876,-0.0151918
11.3813,-0.0153693,-0.00570437,-0.0209589,-0.014155
11.3823,-0.0154493,-0.00638349,-0.0200429,-0.0131053
11.3833,-0.0155297,-0.0071204,-0.01913,-0.0120495
11.3843,-0.0156062,-0.00789174,-0.0182162,-0.0109913
11.3853,-0.015678,-0.00867787,-0.0173034,-0.00993971
11.3863,-0.0157435,-0.00946639,-0.0163932,-0.00889107
11.3873,-0.0158028,-0.0102687,-0.0154842,-0.00784225
11.3883,-0.0158577,-0.0110955,-0.0145801,-0.00681255
11.3893,-0.0159072,-0.0119098,-0.0136847,-0.00580417
11.3903,-0.0159514,-0.0126805,-0.0127933,-0.00479932
11.3913,-0.0159899,-0.0133987,-0.0119065,-0.00379961
11.3923,-0.0160209,-0.0140631,-0.0110258,-0.00281043
11.3933,-0.0160445,-0.0146914,-0.0101501,-0.00183097
11.3943,-0.0160601,-0.0152855,-0.00928221,-0.000869781
11.3953,-0.0160685,-0.015843,-0.00842389,6.97265e-05
11.3963,-0.0160709,-0.0163669,-0.0075754,0.000991418
11.3973,-0.0160683,-0.0168436,-0.00673582,0.0019007
11.3983,-0.0160617,-0.0172592,-0.00590847,0.00280198
11.3993,-0.016052,-0.0176037,-0.00509425,0.00369434
11.4003,-0.0160401,-0.0178757,-0.00429156,0.00456938
11.4013,-0.0160256,-0.0180866,-0.00350415,0.00541663
11.4023,-0.0160081,-0.0182502,-0.00272897,0.00624633
11.4033,-0.015988,-0.0183747,-0.00196557,0.00706236
11.4043,-0.0159641,-0.0184655,-0.00121318,0.00785436
11.4053,-0.015937,-0.0185402,-0.000470069,0.00861797
11.4063,-0.0159066,-0.0186099,0.000261425,0.00934919
11.4073,-0.0158714,-0.0186703,0.00098634,0.0100553
11.4083,-0.0158319,-0.0187209,0.0017052,0.0107339
11.4093,-0.0157879,-0.0187548,0.00241774,0.0113812
11.4103,-0.015739,-0.0187732,0.00312616,0.0120101
11.4113,-0.0156869,-0.018784,0.00382927,0.0126194
11.4123,-0.015632,-0.0187728,0.00452651,0.0132049
11.4133,-0.0155746,-0.0187294,0.00521887,0.0137711
11.4143,-0.0155152,-0.0186585,0.00590846,0.0143237
11.4153,-0.0154535,-0.0185573,0.00659793,0.0148697
11.4163,-0.0153893,-0.0184275,0.00728524,0.0154067
11.4173,-0.0153226,-0.0182767,0.00797034,0.0159332
11.4183,-0.015254,-0.0181134,0.00865036,0.0164473
11.4193,-0.0151829,-0.0179474,0.00932375,0.0169495
11.4203,-0.015109,-0.0177822,0.0099908,0.0174505
11.4213,-0.0150315,-0.0176136,0.0106483,0.017956
11.4223,-0.0149497,-0.0174393,0.0113007,0.0184705
11.4233,-0.0148638,-0.0172659,0.0119484,0.0189814
11.4243,-0.0147743,-0.0170966,0.0125911,0.019478
11.4253,-0.0146818,-0.0169273,0.0132311,0.019968
11.4263,-0.0145875,-0.0167465,0.0138674,0.0204468
11.4273,-0.0144922,-0.0165408,0.0144997,0.0209079
11.4283,-0.0143971,-0.0163041,0.0151292,0.0213543
11.4293,-0.014302,-0.0160363,0.0157582,0.0217923
11.4303,-0.0142081,-0.0157415,0.0163845,0.0222281
11.4316,-0.0141158,-0.0154191,0.0170079,0.0226627
11.4326,-0.0140292,-0.0150738,0.0176303,0.0230868
11.4336,-0.0139598,-0.0147279,0.0182455,0.0234838
11.4346,-0.0139203,-0.0144002,0.0188428,0.0238527
11.4356,-0.0139127,-0.0140997,0.0194146,0.0242072
11.4366,-0.0139264,-0.0138114,0.0199618,0.0245561
11.4376,-0.0139522,-0.0135251,0.0204848,0.0248975
11.4386,-0.0139827,-0.0132626,0.0209789,0.0252375
11.4396,-0.0140131,-0.0130369,0.0214474,0.0256147
11.4406,-0.0140401,-0.0128305,0.0218922,0.0260503
11.4416,-0.0140603,-0.0126161,0.0223162,0.0265252
11.4426,-0.0140739,-0.0123999,0.0227236,0.0270097
11.4436,-0.0140795,-0.0122033,0.0231144,0.0274758
11.4446,-0.0140751,-0.0120272,0.0234911,0.0279159
11.4456,-0.0140597,-0.0118677,0.0238483,0.0283234
11.4466,-0.0140306,-0.0117171,0.0241787,0.0286952
11.4476,-0.0139888,-0.0115916,0.0244758,0.0290419
11.4486,-0.013935,-0.0115074,0.0247335,0.0293689
11.4496,-0.0138698,-0.0114559,0.0249494,0.0296821
11.4506,-0.0137947,-0.0114284,0.0251257,0.0299859
11.4516,-0.01371,-0.0114002,0.0252619,0.03027
11.4526,-0.0136166,-0.0113522,0.0253614,0.0305207
11.4536,-0.0135155,-0.0112847,0.0254206,0.0307146
11.4546,-0.0134082,-0.0112012,0.0254347,0.0308369
11.4556,-0.013295,-0.0111086,0.0254052,0.0308935
11.4566,-0.0131765,-0.011009,0.0253269,0.0308831
11.4576,-0.0130527,-0.0108977,0.0252033,0.0308186
11.4586,-0.0129236,-0.0107728,0.0250378,0.0307096
11.4596,-0.0127899,-0.0106431,0.0248256,0.0305444
11.4606,-0.0126516,-0.0105168,0.0245677,0.0303238
11.4616,-0.0125088,-0.0103991,0.0242607,0.0300383
11.4626,-0.0123612,-0.010284,0.0238998,0.0296801
